K	pathway	protein
K01201	ko01100	Pame_21139.t1
K01201	ko04142	Pame_08378.t1
K01201	ko04142	Pame_08380.t1
K01201	ko04142	Pame_08381.t1
K01201	ko04142	Pame_08382.t1
K01201	ko04142	Pame_08383.t1
K01201	ko04142	Pame_08384.t1
K01201	ko04142	Pame_21139.t1
K01201	ko04382	Pame_08378.t1
K01201	ko04382	Pame_08380.t1
K01201	ko04382	Pame_08381.t1
K01201	ko04382	Pame_08382.t1
K01201	ko04382	Pame_08383.t1
K01201	ko04382	Pame_08384.t1
K01201	ko04382	Pame_21139.t1
K01540	ko04820	Pame_03356.t1
K01540	ko04820	Pame_03358.t2
K01540	ko04820	Pame_03359.t1
K01540	ko04820	Pame_07791.t1
K01540	ko04820	Pame_07793.t1
K01540	ko04820	Pame_07794.t1
K01540	ko04820	Pame_07795.t1
K01540	ko04820	Pame_07796.t1
K01540	ko04820	Pame_07799.t1
K01540	ko04820	Pame_07800.t1
K01540	ko04820	Pame_13155.t1
K00939	ko00230	Pame_02154.t1
K00939	ko00230	Pame_03140.t1
K00939	ko00230	Pame_03670.t1
K00939	ko00230	Pame_04494.t1
K00939	ko00230	Pame_05360.t1
K00939	ko00230	Pame_12905.t1
K00939	ko00230	Pame_15188.t1
K00939	ko00230	Pame_15398.t1
K00939	ko00230	Pame_17717.t1
K00939	ko00230	Pame_17718.t1
K00939	ko00730	Pame_02154.t1
K00939	ko00730	Pame_03140.t1
K00939	ko00730	Pame_03670.t1
K00939	ko00730	Pame_04494.t1
K00939	ko00730	Pame_05360.t1
K00939	ko00730	Pame_12905.t1
K00939	ko00730	Pame_15188.t1
K00939	ko00730	Pame_15398.t1
K00939	ko00730	Pame_17717.t1
K00939	ko00730	Pame_17718.t1
K00939	ko01100	Pame_02154.t1
K00939	ko01100	Pame_03140.t1
K00939	ko01100	Pame_03670.t1
K00939	ko01100	Pame_04494.t1
K00939	ko01100	Pame_05360.t1
K00939	ko01100	Pame_12905.t1
K00939	ko01100	Pame_15188.t1
K00939	ko01100	Pame_15398.t1
K00939	ko01100	Pame_17717.t1
K00939	ko01100	Pame_17718.t1
K00939	ko01232	Pame_02154.t1
K00939	ko01232	Pame_03140.t1
K00939	ko01232	Pame_03670.t1
K00939	ko01232	Pame_04494.t1
K00939	ko01232	Pame_05360.t1
K00939	ko01232	Pame_12905.t1
K00939	ko01232	Pame_15188.t1
K00939	ko01232	Pame_15398.t1
K00939	ko01232	Pame_17717.t1
K00939	ko01232	Pame_17718.t1
K00939	ko01240	Pame_02154.t1
K00939	ko01240	Pame_03140.t1
K00939	ko01240	Pame_03670.t1
K00939	ko01240	Pame_04494.t1
K00939	ko01240	Pame_05360.t1
K00939	ko01240	Pame_12905.t1
K00939	ko01240	Pame_15188.t1
K00939	ko01240	Pame_15398.t1
K00939	ko01240	Pame_17717.t1
K00939	ko01240	Pame_17718.t1
K12196	ko03250	Pame_07477.t1
K12196	ko03250	Pame_18114.t1
K12196	ko03272	Pame_07477.t1
K12196	ko03272	Pame_18114.t1
K12196	ko04144	Pame_07477.t1
K12196	ko04144	Pame_18114.t1
K20694	ko04624	Pame_02894.t1
K20694	ko04624	Pame_04602.t1
K20694	ko04624	Pame_07344.t1
K20694	ko04624	Pame_08002.t1
K20694	ko04624	Pame_08004.t1
K20694	ko04624	Pame_08005.t1
K20694	ko04624	Pame_08006.t1
K20694	ko04624	Pame_08007.t2
K12259	ko00330	Pame_01912.t1
K12259	ko00330	Pame_01915.t1
K12259	ko00330	Pame_07936.t1
K12259	ko00330	Pame_10340.t1
K12259	ko00330	Pame_19251.t1
K12259	ko00410	Pame_01912.t1
K12259	ko00410	Pame_01915.t1
K12259	ko00410	Pame_07936.t1
K12259	ko00410	Pame_10340.t1
K12259	ko00410	Pame_19251.t1
K12259	ko01100	Pame_01912.t1
K12259	ko01100	Pame_01915.t1
K12259	ko01100	Pame_07936.t1
K12259	ko01100	Pame_10340.t1
K12259	ko01100	Pame_19251.t1
K01312	ko04080	Pame_00017.t1
K01312	ko04080	Pame_00489.t1
K01312	ko04080	Pame_00490.t1
K01312	ko04080	Pame_00505.t1
K01312	ko04080	Pame_00506.t1
K01312	ko04080	Pame_00507.t1
K01312	ko04080	Pame_00508.t1
K01312	ko04080	Pame_05261.t1
K01312	ko04080	Pame_06088.t2
K01312	ko04080	Pame_07715.t1
K01312	ko04080	Pame_07868.t1
K01312	ko04080	Pame_07869.t1
K01312	ko04080	Pame_07870.t1
K01312	ko04080	Pame_07871.t2
K01312	ko04080	Pame_07872.t1
K01312	ko04080	Pame_07873.t1
K01312	ko04080	Pame_07874.t1
K01312	ko04080	Pame_07875.t1
K01312	ko04080	Pame_07876.t1
K01312	ko04080	Pame_09859.t1
K01312	ko04080	Pame_10475.t1
K01312	ko04080	Pame_10476.t1
K01312	ko04080	Pame_10478.t1
K01312	ko04080	Pame_10479.t1
K01312	ko04080	Pame_10480.t1
K01312	ko04080	Pame_10481.t1
K01312	ko04080	Pame_10482.t1
K01312	ko04080	Pame_10483.t1
K01312	ko04080	Pame_10484.t1
K01312	ko04080	Pame_10485.t1
K01312	ko04080	Pame_10486.t1
K01312	ko04080	Pame_10487.t1
K01312	ko04080	Pame_10488.t1
K01312	ko04080	Pame_10489.t1
K01312	ko04080	Pame_10490.t1
K01312	ko04080	Pame_10491.t1
K01312	ko04080	Pame_10492.t1
K01312	ko04080	Pame_10493.t1
K01312	ko04080	Pame_10494.t1
K01312	ko04080	Pame_10495.t1
K01312	ko04080	Pame_10496.t1
K01312	ko04080	Pame_10497.t1
K01312	ko04080	Pame_10498.t2
K01312	ko04080	Pame_10499.t1
K01312	ko04080	Pame_10501.t1
K01312	ko04080	Pame_10502.t1
K01312	ko04080	Pame_10503.t1
K01312	ko04080	Pame_10794.t1
K01312	ko04080	Pame_10795.t1
K01312	ko04080	Pame_10797.t1
K01312	ko04080	Pame_10798.t1
K01312	ko04080	Pame_10911.t1
K01312	ko04080	Pame_10914.t1
K01312	ko04080	Pame_10915.t1
K01312	ko04080	Pame_11008.t1
K01312	ko04080	Pame_11279.t1
K01312	ko04080	Pame_11761.t1
K01312	ko04080	Pame_11762.t1
K01312	ko04080	Pame_11763.t1
K01312	ko04080	Pame_11772.t1
K01312	ko04080	Pame_12172.t1
K01312	ko04080	Pame_12206.t1
K01312	ko04080	Pame_12302.t1
K01312	ko04080	Pame_12303.t1
K01312	ko04080	Pame_12305.t1
K01312	ko04080	Pame_12306.t1
K01312	ko04080	Pame_12307.t1
K01312	ko04080	Pame_12308.t1
K01312	ko04080	Pame_12309.t1
K01312	ko04080	Pame_12311.t1
K01312	ko04080	Pame_12634.t1
K01312	ko04080	Pame_12636.t1
K01312	ko04080	Pame_13207.t1
K01312	ko04080	Pame_13208.t1
K01312	ko04080	Pame_13209.t1
K01312	ko04080	Pame_13210.t1
K01312	ko04080	Pame_13211.t1
K01312	ko04080	Pame_15738.t1
K01312	ko04080	Pame_16335.t2
K01312	ko04080	Pame_16336.t1
K01312	ko04080	Pame_17228.t1
K01312	ko04080	Pame_17229.t1
K01312	ko04080	Pame_17230.t1
K01312	ko04080	Pame_17231.t1
K01312	ko04080	Pame_17232.t1
K01312	ko04080	Pame_17234.t1
K01312	ko04080	Pame_17237.t1
K01312	ko04080	Pame_17239.t1
K01312	ko04080	Pame_17240.t1
K01312	ko04080	Pame_17488.t1
K01312	ko04080	Pame_18021.t1
K01312	ko04080	Pame_18022.t1
K01312	ko04080	Pame_18029.t1
K01312	ko04080	Pame_18102.t2
K01312	ko04080	Pame_18420.t1
K01312	ko04080	Pame_18424.t1
K01312	ko04080	Pame_18425.t1
K01312	ko04080	Pame_18427.t1
K01312	ko04080	Pame_18428.t1
K01312	ko04080	Pame_18440.t1
K01312	ko04080	Pame_18443.t1
K01312	ko04080	Pame_18444.t1
K01312	ko04080	Pame_18445.t1
K01312	ko04080	Pame_18451.t1
K01312	ko04080	Pame_18452.t1
K01312	ko04080	Pame_21781.t1
K01312	ko04080	Pame_21782.t1
K01312	ko04080	Pame_21783.t1
K01312	ko04080	Pame_21784.t1
K01312	ko04080	Pame_21785.t1
K01312	ko04080	Pame_21786.t1
K01312	ko04080	Pame_21787.t1
K01312	ko04080	Pame_21788.t1
K01312	ko04080	Pame_21789.t1
K01312	ko04080	Pame_21790.t1
K01312	ko04080	Pame_21791.t1
K01312	ko04080	Pame_21792.t1
K01312	ko04080	Pame_21793.t1
K04450	ko04013	Pame_11140.t1
K04450	ko04624	Pame_11140.t1
K00026	ko00020	Pame_01685.t1
K00026	ko00020	Pame_07667.t1
K00026	ko00020	Pame_12951.t1
K00026	ko00020	Pame_13230.t1
K00026	ko00270	Pame_01685.t1
K00026	ko00270	Pame_07667.t1
K00026	ko00270	Pame_12951.t1
K00026	ko00270	Pame_13230.t1
K00026	ko00620	Pame_01685.t1
K00026	ko00620	Pame_07667.t1
K00026	ko00620	Pame_12951.t1
K00026	ko00620	Pame_13230.t1
K00026	ko00630	Pame_01685.t1
K00026	ko00630	Pame_07667.t1
K00026	ko00630	Pame_12951.t1
K00026	ko00630	Pame_13230.t1
K00026	ko01100	Pame_01685.t1
K00026	ko01100	Pame_07667.t1
K00026	ko01100	Pame_12951.t1
K00026	ko01100	Pame_13230.t1
K00026	ko01200	Pame_01685.t1
K00026	ko01200	Pame_07667.t1
K00026	ko01200	Pame_12951.t1
K00026	ko01200	Pame_13230.t1
K04170	ko04080	Pame_21710.t1
K10410	ko04814	Pame_07462.t1
K22470	ko00920	Pame_11141.t1
K22470	ko01100	Pame_11141.t1
K17387	ko04814	Pame_00387.t2
K17387	ko04814	Pame_05470.t1
K17387	ko04814	Pame_11519.t1
K17387	ko04814	Pame_16758.t1
K17387	ko04814	Pame_16812.t1
K17387	ko04814	Pame_16875.t1
K17387	ko04814	Pame_17027.t1
K17387	ko04814	Pame_17626.t1
K17387	ko04814	Pame_17808.t1
K17387	ko04814	Pame_17925.t1
K17387	ko04814	Pame_18619.t1
K17387	ko04814	Pame_21664.t1
K00665	ko00061	Pame_03760.t1
K00665	ko00061	Pame_03775.t1
K00665	ko00061	Pame_03777.t1
K00665	ko00061	Pame_03778.t1
K00665	ko00061	Pame_03779.t1
K00665	ko00061	Pame_05669.t1
K00665	ko00061	Pame_05670.t1
K00665	ko00061	Pame_06530.t1
K00665	ko00061	Pame_08738.t1
K00665	ko00061	Pame_09031.t1
K00665	ko00061	Pame_09032.t1
K00665	ko00061	Pame_11573.t1
K00665	ko00061	Pame_16477.t1
K00665	ko00061	Pame_16478.t1
K00665	ko00061	Pame_16479.t1
K00665	ko00061	Pame_16480.t1
K00665	ko00061	Pame_17068.t1
K00665	ko00061	Pame_17069.t1
K00665	ko00061	Pame_17070.t1
K00665	ko00061	Pame_17071.t1
K00665	ko00061	Pame_17072.t1
K00665	ko00061	Pame_17078.t1
K00665	ko00061	Pame_17079.t1
K00665	ko00061	Pame_17080.t1
K00665	ko01100	Pame_03760.t1
K00665	ko01100	Pame_03775.t1
K00665	ko01100	Pame_03777.t1
K00665	ko01100	Pame_03778.t1
K00665	ko01100	Pame_03779.t1
K00665	ko01100	Pame_05669.t1
K00665	ko01100	Pame_05670.t1
K00665	ko01100	Pame_06530.t1
K00665	ko01100	Pame_08738.t1
K00665	ko01100	Pame_09031.t1
K00665	ko01100	Pame_09032.t1
K00665	ko01100	Pame_11573.t1
K00665	ko01100	Pame_16477.t1
K00665	ko01100	Pame_16478.t1
K00665	ko01100	Pame_16479.t1
K00665	ko01100	Pame_16480.t1
K00665	ko01100	Pame_17068.t1
K00665	ko01100	Pame_17069.t1
K00665	ko01100	Pame_17070.t1
K00665	ko01100	Pame_17071.t1
K00665	ko01100	Pame_17072.t1
K00665	ko01100	Pame_17078.t1
K00665	ko01100	Pame_17079.t1
K00665	ko01100	Pame_17080.t1
K00665	ko01212	Pame_03760.t1
K00665	ko01212	Pame_03775.t1
K00665	ko01212	Pame_03777.t1
K00665	ko01212	Pame_03778.t1
K00665	ko01212	Pame_03779.t1
K00665	ko01212	Pame_05669.t1
K00665	ko01212	Pame_05670.t1
K00665	ko01212	Pame_06530.t1
K00665	ko01212	Pame_08738.t1
K00665	ko01212	Pame_09031.t1
K00665	ko01212	Pame_09032.t1
K00665	ko01212	Pame_11573.t1
K00665	ko01212	Pame_16477.t1
K00665	ko01212	Pame_16478.t1
K00665	ko01212	Pame_16479.t1
K00665	ko01212	Pame_16480.t1
K00665	ko01212	Pame_17068.t1
K00665	ko01212	Pame_17069.t1
K00665	ko01212	Pame_17070.t1
K00665	ko01212	Pame_17071.t1
K00665	ko01212	Pame_17072.t1
K00665	ko01212	Pame_17078.t1
K00665	ko01212	Pame_17079.t1
K00665	ko01212	Pame_17080.t1
K03952	ko00190	Pame_11144.t1
K03952	ko01100	Pame_11144.t1
K01183	ko00520	Pame_02708.t1
K01183	ko00520	Pame_02709.t1
K01183	ko00520	Pame_05852.t1
K01183	ko00520	Pame_05853.t1
K01183	ko00520	Pame_07734.t1
K01183	ko00520	Pame_08663.t1
K01183	ko00520	Pame_08791.t1
K01183	ko00520	Pame_09156.t1
K01183	ko00520	Pame_10606.t1
K01183	ko00520	Pame_12126.t1
K01183	ko00520	Pame_12257.t1
K01183	ko00520	Pame_12623.t1
K01183	ko00520	Pame_13355.t1
K01183	ko00520	Pame_15142.t1
K01183	ko00520	Pame_15143.t1
K01183	ko00520	Pame_15219.t2
K01183	ko00520	Pame_15862.t1
K01183	ko00520	Pame_15957.t1
K01183	ko00520	Pame_15958.t1
K01183	ko00520	Pame_15959.t1
K01183	ko00520	Pame_15960.t1
K01183	ko00520	Pame_15961.t1
K01183	ko00520	Pame_15962.t1
K01183	ko00520	Pame_19863.t1
K01183	ko00520	Pame_19874.t1
K01183	ko00520	Pame_19875.t1
K01183	ko00520	Pame_19876.t1
K01183	ko00520	Pame_19877.t1
K01183	ko00520	Pame_19878.t1
K01183	ko00520	Pame_19879.t1
K01183	ko00520	Pame_19959.t1
K01183	ko00520	Pame_19960.t1
K01183	ko00520	Pame_19961.t1
K01183	ko00520	Pame_21748.t1
K01183	ko00520	Pame_21749.t1
K01183	ko00520	Pame_21750.t1
K01183	ko00520	Pame_21751.t1
K01183	ko01100	Pame_02708.t1
K01183	ko01100	Pame_02709.t1
K01183	ko01100	Pame_05852.t1
K01183	ko01100	Pame_05853.t1
K01183	ko01100	Pame_07734.t1
K01183	ko01100	Pame_08663.t1
K01183	ko01100	Pame_08791.t1
K01183	ko01100	Pame_09156.t1
K01183	ko01100	Pame_10606.t1
K01183	ko01100	Pame_12126.t1
K01183	ko01100	Pame_12257.t1
K01183	ko01100	Pame_12623.t1
K01183	ko01100	Pame_13355.t1
K01183	ko01100	Pame_15142.t1
K01183	ko01100	Pame_15143.t1
K01183	ko01100	Pame_15219.t2
K01183	ko01100	Pame_15862.t1
K01183	ko01100	Pame_15957.t1
K01183	ko01100	Pame_15958.t1
K01183	ko01100	Pame_15959.t1
K01183	ko01100	Pame_15960.t1
K01183	ko01100	Pame_15961.t1
K01183	ko01100	Pame_15962.t1
K01183	ko01100	Pame_19863.t1
K01183	ko01100	Pame_19874.t1
K01183	ko01100	Pame_19875.t1
K01183	ko01100	Pame_19876.t1
K01183	ko01100	Pame_19877.t1
K01183	ko01100	Pame_19878.t1
K01183	ko01100	Pame_19879.t1
K01183	ko01100	Pame_19959.t1
K01183	ko01100	Pame_19960.t1
K01183	ko01100	Pame_19961.t1
K01183	ko01100	Pame_21748.t1
K01183	ko01100	Pame_21749.t1
K01183	ko01100	Pame_21750.t1
K01183	ko01100	Pame_21751.t1
K09556	ko04141	Pame_08657.t1
K01194	ko00500	Pame_08649.t1
K01194	ko00500	Pame_08654.t1
K01194	ko00500	Pame_11679.t1
K01194	ko00500	Pame_20379.t1
K01194	ko01100	Pame_08649.t1
K01194	ko01100	Pame_08654.t1
K01194	ko01100	Pame_11679.t1
K01194	ko01100	Pame_20379.t1
K01194	ko00500	Pame_08649.t1
K01194	ko00500	Pame_08654.t1
K01194	ko00500	Pame_11679.t1
K01194	ko00500	Pame_20379.t1
K01194	ko01100	Pame_08649.t1
K01194	ko01100	Pame_08654.t1
K01194	ko01100	Pame_11679.t1
K01194	ko01100	Pame_20379.t1
K01495	ko00790	Pame_08641.t1
K01495	ko01100	Pame_08641.t1
K01495	ko01240	Pame_08641.t1
K05637	ko04512	Pame_08630.t1
K05637	ko04512	Pame_08633.t1
K05637	ko04512	Pame_08634.t1
K05637	ko04820	Pame_08630.t1
K05637	ko04820	Pame_08633.t1
K05637	ko04820	Pame_08634.t1
K17387	ko04814	Pame_00387.t2
K17387	ko04814	Pame_05470.t1
K17387	ko04814	Pame_11519.t1
K17387	ko04814	Pame_16758.t1
K17387	ko04814	Pame_16812.t1
K17387	ko04814	Pame_16875.t1
K17387	ko04814	Pame_17027.t1
K17387	ko04814	Pame_17626.t1
K17387	ko04814	Pame_17808.t1
K17387	ko04814	Pame_17925.t1
K17387	ko04814	Pame_18619.t1
K17387	ko04814	Pame_21664.t1
K18809	ko04624	Pame_08603.t1
K18809	ko04624	Pame_14688.t1
K18809	ko04624	Pame_08603.t1
K18809	ko04624	Pame_14688.t1
K18809	ko04624	Pame_08603.t1
K18809	ko04624	Pame_14688.t1
K18809	ko04624	Pame_08603.t1
K18809	ko04624	Pame_14688.t1
K06642	ko03450	Pame_08566.t2
K06642	ko03450	Pame_10602.t1
K06642	ko03450	Pame_10603.t1
K06642	ko03450	Pame_11654.t1
K06642	ko03450	Pame_11655.t1
K06642	ko03450	Pame_11656.t1
K06642	ko03450	Pame_11657.t2
K06642	ko03450	Pame_11658.t1
K06642	ko03450	Pame_11659.t1
K06642	ko03450	Pame_11662.t1
K06642	ko03450	Pame_19540.t1
K06642	ko03450	Pame_19541.t1
K06642	ko03450	Pame_19542.t1
K06642	ko03450	Pame_19543.t1
K10865	ko03440	Pame_08563.t1
K10865	ko03450	Pame_08563.t1
K18655	ko03013	Pame_08562.t1
K18655	ko03015	Pame_08562.t1
K14406	ko03015	Pame_08559.t1
K00901	ko00561	Pame_02366.t1
K00901	ko00561	Pame_02367.t1
K00901	ko00561	Pame_07465.t4
K00901	ko00561	Pame_10100.t2
K00901	ko00561	Pame_11160.t2
K00901	ko00561	Pame_20880.t1
K00901	ko00561	Pame_20881.t1
K00901	ko00564	Pame_02366.t1
K00901	ko00564	Pame_02367.t1
K00901	ko00564	Pame_07465.t4
K00901	ko00564	Pame_10100.t2
K00901	ko00564	Pame_11160.t2
K00901	ko00564	Pame_20880.t1
K00901	ko00564	Pame_20881.t1
K00901	ko01100	Pame_02366.t1
K00901	ko01100	Pame_02367.t1
K00901	ko01100	Pame_07465.t4
K00901	ko01100	Pame_10100.t2
K00901	ko01100	Pame_11160.t2
K00901	ko01100	Pame_20880.t1
K00901	ko01100	Pame_20881.t1
K00901	ko04070	Pame_02366.t1
K00901	ko04070	Pame_02367.t1
K00901	ko04070	Pame_07465.t4
K00901	ko04070	Pame_10100.t2
K00901	ko04070	Pame_11160.t2
K00901	ko04070	Pame_20880.t1
K00901	ko04070	Pame_20881.t1
K07299	ko04148	Pame_04191.t1
K07299	ko04148	Pame_13351.t1
K07972	ko04745	Pame_08540.t1
K13647	ko00310	Pame_08539.t2
K13647	ko01100	Pame_08539.t2
K13809	ko00240	Pame_11164.t1
K13809	ko01100	Pame_11164.t1
K13809	ko01232	Pame_11164.t1
K13809	ko01240	Pame_11164.t1
K01887	ko00970	Pame_08528.t1
K01887	ko00970	Pame_13987.t1
K10776	ko03410	Pame_08523.t1
K10776	ko03410	Pame_08524.t1
K10776	ko03410	Pame_08525.t1
K05870	ko04148	Pame_08518.t1
K03142	ko03022	Pame_08515.t1
K03142	ko03420	Pame_08515.t1
K10424	ko04814	Pame_08507.t1
K00591	ko00130	Pame_08501.t1
K00591	ko00130	Pame_12325.t1
K00591	ko00130	Pame_12326.t1
K00591	ko00130	Pame_12327.t1
K00591	ko01100	Pame_08501.t1
K00591	ko01100	Pame_12325.t1
K00591	ko01100	Pame_12326.t1
K00591	ko01100	Pame_12327.t1
K00591	ko01240	Pame_08501.t1
K00591	ko01240	Pame_12325.t1
K00591	ko01240	Pame_12326.t1
K00591	ko01240	Pame_12327.t1
K01063	ko00981	Pame_00989.t1
K01063	ko00981	Pame_00992.t1
K01063	ko00981	Pame_01190.t1
K01063	ko00981	Pame_04126.t1
K01063	ko00981	Pame_04807.t1
K01063	ko00981	Pame_05404.t1
K01063	ko00981	Pame_05574.t1
K01063	ko00981	Pame_06679.t1
K01063	ko00981	Pame_06680.t1
K01063	ko00981	Pame_06681.t1
K01063	ko00981	Pame_06682.t1
K01063	ko00981	Pame_06683.t1
K01063	ko00981	Pame_06687.t1
K01063	ko00981	Pame_08497.t1
K01063	ko00981	Pame_10252.t1
K01063	ko00981	Pame_10253.t1
K01063	ko00981	Pame_11031.t1
K01063	ko00981	Pame_11619.t1
K01063	ko00981	Pame_15059.t1
K01063	ko00981	Pame_16026.t1
K01063	ko00981	Pame_16027.t1
K01063	ko00981	Pame_16131.t1
K01063	ko00981	Pame_16795.t1
K01063	ko00981	Pame_16798.t1
K01063	ko00981	Pame_19583.t1
K01063	ko00981	Pame_19584.t1
K01063	ko00981	Pame_19588.t1
K01063	ko00981	Pame_19589.t1
K01063	ko00981	Pame_19590.t1
K01063	ko00981	Pame_19591.t2
K01063	ko00981	Pame_19592.t1
K01063	ko00981	Pame_19593.t1
K01063	ko00981	Pame_19594.t1
K01063	ko00981	Pame_19595.t1
K01063	ko00981	Pame_19596.t1
K01063	ko00981	Pame_19597.t1
K01063	ko00981	Pame_19616.t1
K01063	ko00981	Pame_19617.t1
K01063	ko00981	Pame_19623.t1
K01063	ko00981	Pame_19624.t1
K01063	ko00981	Pame_20556.t1
K01063	ko00981	Pame_20626.t1
K01063	ko00981	Pame_20627.t1
K01063	ko00981	Pame_20628.t1
K01063	ko00981	Pame_20630.t1
K00710	ko00512	Pame_00058.t1
K00710	ko00512	Pame_01262.t1
K00710	ko00512	Pame_01274.t1
K00710	ko00512	Pame_06808.t1
K00710	ko00512	Pame_08463.t1
K00710	ko00512	Pame_11494.t1
K00710	ko00512	Pame_11556.t2
K00710	ko00512	Pame_11579.t1
K00710	ko00512	Pame_11626.t1
K00710	ko00512	Pame_11627.t1
K00710	ko00512	Pame_11726.t2
K00710	ko00512	Pame_11825.t1
K00710	ko00512	Pame_13160.t1
K00710	ko00512	Pame_13300.t1
K00710	ko00512	Pame_13301.t1
K00710	ko00512	Pame_13302.t1
K00710	ko00512	Pame_13846.t1
K00710	ko00512	Pame_13847.t1
K00710	ko00512	Pame_17051.t2
K00710	ko00512	Pame_17052.t1
K00710	ko00512	Pame_18549.t2
K00710	ko00514	Pame_00058.t1
K00710	ko00514	Pame_01262.t1
K00710	ko00514	Pame_01274.t1
K00710	ko00514	Pame_06808.t1
K00710	ko00514	Pame_08463.t1
K00710	ko00514	Pame_11494.t1
K00710	ko00514	Pame_11556.t2
K00710	ko00514	Pame_11579.t1
K00710	ko00514	Pame_11626.t1
K00710	ko00514	Pame_11627.t1
K00710	ko00514	Pame_11726.t2
K00710	ko00514	Pame_11825.t1
K00710	ko00514	Pame_13160.t1
K00710	ko00514	Pame_13300.t1
K00710	ko00514	Pame_13301.t1
K00710	ko00514	Pame_13302.t1
K00710	ko00514	Pame_13846.t1
K00710	ko00514	Pame_13847.t1
K00710	ko00514	Pame_17051.t2
K00710	ko00514	Pame_17052.t1
K00710	ko00514	Pame_18549.t2
K00710	ko01100	Pame_00058.t1
K00710	ko01100	Pame_01262.t1
K00710	ko01100	Pame_01274.t1
K00710	ko01100	Pame_06808.t1
K00710	ko01100	Pame_08463.t1
K00710	ko01100	Pame_11494.t1
K00710	ko01100	Pame_11556.t2
K00710	ko01100	Pame_11579.t1
K00710	ko01100	Pame_11626.t1
K00710	ko01100	Pame_11627.t1
K00710	ko01100	Pame_11726.t2
K00710	ko01100	Pame_11825.t1
K00710	ko01100	Pame_13160.t1
K00710	ko01100	Pame_13300.t1
K00710	ko01100	Pame_13301.t1
K00710	ko01100	Pame_13302.t1
K00710	ko01100	Pame_13846.t1
K00710	ko01100	Pame_13847.t1
K00710	ko01100	Pame_17051.t2
K00710	ko01100	Pame_17052.t1
K00710	ko01100	Pame_18549.t2
K01432	ko00380	Pame_11174.t1
K01432	ko00380	Pame_11175.t1
K01432	ko00630	Pame_11174.t1
K01432	ko00630	Pame_11175.t1
K01432	ko01100	Pame_11174.t1
K01432	ko01100	Pame_11175.t1
K01432	ko01240	Pame_11174.t1
K01432	ko01240	Pame_11175.t1
K14457	ko00561	Pame_08433.t1
K14457	ko01100	Pame_08433.t1
K01365	ko04140	Pame_02512.t1
K01365	ko04140	Pame_02513.t1
K01365	ko04140	Pame_02514.t1
K01365	ko04140	Pame_02698.t1
K01365	ko04140	Pame_08426.t1
K01365	ko04140	Pame_11102.t1
K01365	ko04142	Pame_02512.t1
K01365	ko04142	Pame_02513.t1
K01365	ko04142	Pame_02514.t1
K01365	ko04142	Pame_02698.t1
K01365	ko04142	Pame_08426.t1
K01365	ko04142	Pame_11102.t1
K01365	ko04145	Pame_02512.t1
K01365	ko04145	Pame_02513.t1
K01365	ko04145	Pame_02514.t1
K01365	ko04145	Pame_02698.t1
K01365	ko04145	Pame_08426.t1
K01365	ko04145	Pame_11102.t1
K14457	ko00561	Pame_08433.t1
K14457	ko01100	Pame_08433.t1
K07511	ko00062	Pame_08422.t1
K07511	ko00062	Pame_08423.t1
K07511	ko00071	Pame_08422.t1
K07511	ko00071	Pame_08423.t1
K07511	ko00280	Pame_08422.t1
K07511	ko00280	Pame_08423.t1
K07511	ko00310	Pame_08422.t1
K07511	ko00310	Pame_08423.t1
K07511	ko00380	Pame_08422.t1
K07511	ko00380	Pame_08423.t1
K07511	ko00410	Pame_08422.t1
K07511	ko00410	Pame_08423.t1
K07511	ko00640	Pame_08422.t1
K07511	ko00640	Pame_08423.t1
K07511	ko00650	Pame_08422.t1
K07511	ko00650	Pame_08423.t1
K07511	ko01100	Pame_08422.t1
K07511	ko01100	Pame_08423.t1
K07511	ko01200	Pame_08422.t1
K07511	ko01200	Pame_08423.t1
K07511	ko01212	Pame_08422.t1
K07511	ko01212	Pame_08423.t1
K07511	ko00062	Pame_08422.t1
K07511	ko00062	Pame_08423.t1
K07511	ko00071	Pame_08422.t1
K07511	ko00071	Pame_08423.t1
K07511	ko00280	Pame_08422.t1
K07511	ko00280	Pame_08423.t1
K07511	ko00310	Pame_08422.t1
K07511	ko00310	Pame_08423.t1
K07511	ko00380	Pame_08422.t1
K07511	ko00380	Pame_08423.t1
K07511	ko00410	Pame_08422.t1
K07511	ko00410	Pame_08423.t1
K07511	ko00640	Pame_08422.t1
K07511	ko00640	Pame_08423.t1
K07511	ko00650	Pame_08422.t1
K07511	ko00650	Pame_08423.t1
K07511	ko01100	Pame_08422.t1
K07511	ko01100	Pame_08423.t1
K07511	ko01200	Pame_08422.t1
K07511	ko01200	Pame_08423.t1
K07511	ko01212	Pame_08422.t1
K07511	ko01212	Pame_08423.t1
K01201	ko00511	Pame_08378.t1
K01201	ko00511	Pame_08380.t1
K01201	ko00511	Pame_08381.t1
K01201	ko00511	Pame_08382.t1
K01201	ko00511	Pame_08383.t1
K01201	ko00511	Pame_08384.t1
K01201	ko00511	Pame_21139.t1
K01201	ko00600	Pame_08378.t1
K01201	ko00600	Pame_08380.t1
K01201	ko00600	Pame_08381.t1
K01201	ko00600	Pame_08382.t1
K01201	ko00600	Pame_08383.t1
K01201	ko00600	Pame_08384.t1
K01201	ko00600	Pame_21139.t1
K01201	ko01100	Pame_08378.t1
K01201	ko01100	Pame_08380.t1
K01201	ko01100	Pame_08381.t1
K01201	ko01100	Pame_08382.t1
